Relative to: x.pg1023_def.x9a2_bee.pk1
col-1 : x.pg1122_def.x9a2_bee.pk1
col-2 : x.pg1217_def.x9a2_bee.pk1
col-3 : x.pg1313_def.x9a2_bee.pk1
col-4 : x.pg1411_def.x9a2_bee.pk1
col-5 : x.pg156_def.x9a2_bee.pk1
col-6 : x.pg162_def.x9a2_bee.pk1

col-1	col-2	col-3	col-4	col-5	col-6
1.07	1.03	1.06	1.06	1.05	1.05	hot-points_range=100
1.01	1.03	0.99	1.00	1.03	1.02	point-query.pre_range=100
1.04	1.01	1.02	1.04	1.02	1.07	point-query_range=100
1.05	1.03	1.03	1.04	1.04	1.04	points-covered-pk.pre_range=100
1.06	1.04	1.04	1.07	1.07	1.08	points-covered-pk_range=100
1.06	1.03	1.08	1.09	1.09	1.09	points-covered-si.pre_range=100
1.05	1.01	1.08	1.10	1.11	1.11	points-covered-si_range=100
1.05	1.03	1.03	1.04	1.05	1.05	points-notcovered-pk.pre_range=100
1.06	1.05	1.05	1.07	1.07	1.08	points-notcovered-pk_range=100
1.06	1.03	1.07	1.08	1.09	1.08	points-notcovered-si.pre_range=100
1.05	1.03	1.09	1.10	1.11	1.11	points-notcovered-si_range=100
1.06	1.04	1.03	1.04	1.04	1.04	random-points.pre_range=1000
1.06	1.04	1.03	1.05	1.05	1.05	random-points.pre_range=100
1.07	1.05	1.06	1.07	1.07	1.06	random-points.pre_range=10
1.05	1.03	1.03	1.05	1.05	1.06	random-points_range=1000
1.05	1.03	1.03	1.07	1.06	1.06	random-points_range=100
1.07	1.04	1.06	1.08	1.08	1.08	random-points_range=10
1.12	1.10	1.14	1.14	1.12	1.11	range-covered-pk.pre_range=100
1.14	1.13	1.14	1.17	1.14	1.13	range-covered-pk_range=100
1.10	1.10	1.15	1.18	1.13	1.12	range-covered-si.pre_range=100
1.11	1.10	1.16	1.20	1.15	1.13	range-covered-si_range=100
1.10	1.08	1.11	1.11	1.11	1.09	range-notcovered-pk.pre_range=100
1.07	1.07	1.07	1.09	1.08	1.08	range-notcovered-pk_range=100
1.06	1.06	1.07	1.09	1.08	1.07	range-notcovered-si.pre_range=100
1.06	1.06	1.07	1.09	1.08	1.08	range-notcovered-si_range=100
1.00	0.97	0.96	1.03	1.06	1.07	read-only.pre_range=10000
1.05	1.04	1.04	1.06	1.05	1.04	read-only.pre_range=100
1.06	1.03	1.04	1.02	1.03	1.04	read-only.pre_range=10
0.99	0.97	0.97	1.03	1.04	1.07	read-only_range=10000
1.04	1.03	1.04	1.06	1.04	1.05	read-only_range=100
1.05	1.02	1.04	1.02	1.02	1.04	read-only_range=10
1.00	0.99	1.00	1.09	1.09	1.09	scan_range=100
1.02	1.00	1.03	1.03	1.03	1.03	delete_range=100
1.07	1.06	1.05	1.08	1.03	1.06	insert_range=100
1.04	1.02	1.04	1.06	1.04	1.06	read-write_range=100
1.06	1.04	1.04	1.06	1.05	1.05	read-write_range=10
1.03	1.00	1.02	1.03	1.03	1.05	update-index_range=100
1.02	1.00	1.01	1.14	1.13	1.13	update-inlist_range=100
1.03	1.01	1.04	1.10	1.08	1.11	update-nonindex_range=100
1.08	1.06	1.15	1.14	1.11	1.15	update-one_range=100
1.04	1.02	1.04	1.10	1.09	1.11	update-zipf_range=100
1.02	1.00	1.02	1.04	1.03	1.02	write-only_range=10000
