hot-points_range=100,22198,22340,22093,22204,22401,22587,23055,22823
point-query_range=100,255667,254130,252139,254540,246813,251322,250134,249433
points-covered-pk_range=100,17601,17689,17399,17454,17605,17813,17538,17569
points-covered-si_range=100,18928,18922,19011,19009,19303,19254,19090,19218
points-notcovered-pk_range=100,16989,17085,16811,16841,17076,17206,16930,16975
points-notcovered-si_range=100,10058,10096,10060,10100,10205,10189,10060,10120
random-points_range=1000,1735,1770,1721,1778,1804,1824,1791,1805
random-points_range=100,17059,17169,16898,16912,17135,17277,16996,17054
random-points_range=10,107610,108299,106423,106767,105590,106895,105912,105993
range-covered-pk_range=100,121580,121810,118970,119668,117596,118035,119430,119845
range-covered-si_range=100,130345,130834,128305,129143,127052,127885,128129,128616
range-notcovered-pk_range=100,100159,98641,99361,99566,99036,99349,100006,100313
range-notcovered-si_range=100,19477,19559,19197,19247,19374,19274,19309,19428
read-only-count_range=1000,32814,32794,31889,31892,32171,32179,33452,33522
read-only-distinct_range=1000,86600,86859,85609,85937,86091,85735,87020,87029
read-only-order_range=1000,111822,111938,110837,111493,111125,111498,112849,112446
read-only_range=10000,4315,4204,4116,5125,5190,5223,5212,5290
read-only_range=100,168528,167832,165737,167425,164722,165698,166196,166015
read-only_range=10,217005,216121,214080,215914,212307,213364,212093,212847
read-only-simple_range=1000,138793,135891,136578,137889,138690,138848,139713,139394
read-only-sum_range=1000,172622,172487,168691,169145,167232,168019,171482,171184
scan_range=100,2523,2527,2513,2489,2520,2494,2613,2600
scan.warm_range=100,2522,2550,2501,2504,2488,2519,2586,2595
delete_range=100,89913,85600,84517,80126,79980,75127,79322,75107
insert_range=100,75923,63729,71427,60614,64871,55549,64795,55869
read-write_range=100,141484,141417,139359,139993,141045,140246,140037,140363
read-write_range=10,167164,166796,164329,164914,162373,164487,165518,164352
update-index_range=100,40495,38787,40208,37710,35698,34934,35642,34669
update-inlist_range=100,31280,30790,29761,28716,22329,22470,21995,22075
update-nonindex_range=100,68232,66648,66613,63557,59340,55587,58522,55288
update-one_range=100,56291,53057,54659,51128,50780,46943,50134,46715
update-zipf_range=100,67199,64729,65154,62070,57979,54648,57423,54314
write-only_range=10000,123501,123221,120855,119490,117582,117416,116614,116635
