col-1 : x.pg175_o2nofp.x10a_c8r32.pk1
col-2 : x.pg18beta1_o2nofp.x10b_c8r32.pk1
col-3 : x.pg18beta1_o2nofp.x10c_c8r32.pk1
col-4 : x.pg18beta1_o2nofp.x10d_c8r32.pk1

col-1	col-2	col-3	col-4
9968	9983	9946	10044	hot-points_range=100
4225	4178	4196	4189	point-query_range=100
1800	1803	1802	1832	points-covered-pk_range=100
1998	2019	2045	1995	points-covered-si_range=100
84	84	83	83	points-notcovered-pk_range=100
82	81	80	81	points-notcovered-si_range=100
7	7	7	7	random-points_range=1000
70	70	69	70	random-points_range=100
609	604	580	623	random-points_range=10
11901	11596	11599	11737	range-covered-pk_range=100
10057	9834	9866	10015	range-covered-si_range=100
1974	1949	1947	1947	range-notcovered-pk_range=100
87	86	86	87	range-notcovered-si_range=100
818	809	820	853	read-only-count_range=1000
2790	2754	2767	2757	read-only-distinct_range=1000
2864	2814	2831	2825	read-only-order_range=1000
306	302	300	301	read-only_range=10000
3638	3607	3615	3610	read-only_range=100
4730	4670	4697	4693	read-only_range=10
3415	3367	3391	3385	read-only-simple_range=1000
3682	3642	3660	3649	read-only-sum_range=1000
2067	2080	3155	2671	scan_range=100
2072	2069	3142	2664	scan.warm_range=100
3921	3895	3903	3905	delete_range=100
5527	5453	5413	5427	insert_range=100
3445	3424	3424	3412	read-write_range=100
4562	4556	4536	4505	read-write_range=10
3732	3728	3720	3697	update-index_range=100
392	387	381	392	update-inlist_range=100
3525	3602	3601	3500	update-nonindex_range=100
21569	21045	21152	21299	update-one_range=100
5126	5127	5114	5038	update-zipf_range=100
5528	5547	5537	5521	write-only_range=10000
