Relative to: x.pg1023_o2nofp.x10a_wm16_c32r128.pk1
col-1 : x.pg1122_o2nofp.x10a_wm16_c32r128.pk1
col-2 : x.pg174_o2nofp.x10a_wm16_c32r128.pk1

col-1	col-2
1.05	2.65	hot-points_range=100
1.04	1.10	point-query_range=100
1.03	1.07	points-covered-pk_range=100
1.04	1.05	points-covered-si_range=100
1.03	1.05	points-notcovered-pk_range=100
1.04	1.04	points-notcovered-si_range=100
1.02	1.04	random-points_range=1000
1.02	1.05	random-points_range=100
1.04	1.06	random-points_range=10
1.05	1.13	range-covered-pk_range=100
1.06	1.13	range-covered-si_range=100
1.03	1.03	range-notcovered-pk_range=100
1.04	1.05	range-notcovered-si_range=100
0.97	0.96	read-only-distinct_range=8000
0.97	0.99	read-only-order_range=8000
1.00	1.00	read-only_range=1000
1.03	1.05	read-only_range=100
1.04	1.08	read-only_range=10
0.98	1.00	read-only_range=16000
1.00	1.02	read-only_range=2000
0.99	1.03	read-only_range=32000
0.99	0.97	read-only_range=4000
0.94	0.94	read-only_range=8000
0.92	0.90	read-only-simple_range=8000
0.86	0.80	read-only-sum_range=8000
1.00	1.15	scan_range=100
1.51	2.60	delete_range=100
1.02	1.14	insert_range=100
1.04	1.08	read-write_range=100
1.03	1.09	read-write_range=10
1.28	2.53	update-index_range=100
1.33	1.45	update-inlist_range=100
1.73	3.79	update-nonindex_range=100
1.89	2.99	update-one_range=100
1.61	2.82	update-zipf_range=100
1.18	1.57	write-only_range=10000
