hot-points_range=100,1.00,3.15,3.13,3.14,3.14
point-query_range=100,1.00,0.92,0.99,1.01,1.03
points-covered-pk_range=100,0.97,0.95,0.97,0.96,0.97
points-covered-si_range=100,1.00,0.99,1.00,0.99,0.98
points-notcovered-pk_range=100,0.94,0.93,0.92,0.93,0.90
points-notcovered-si_range=100,0.97,0.98,0.90,0.97,0.96
random-points_range=1000,1.00,1.04,0.98,1.01,1.02
random-points_range=100,0.96,1.00,0.93,1.00,0.94
random-points_range=10,1.02,1.01,1.01,1.02,1.05
range-covered-pk_range=100,0.98,0.99,0.99,0.97,0.95
range-covered-si_range=100,0.98,0.99,0.98,0.95,0.95
range-notcovered-pk_range=100,1.02,1.01,1.00,1.01,1.01
range-notcovered-si_range=100,0.99,0.91,0.92,0.99,0.84
read-only-count_range=1000,0.99,0.99,1.00,0.99,1.00
read-only-distinct_range=1000,1.00,0.95,0.96,0.98,0.97
read-only-order_range=1000,0.98,0.94,0.98,0.96,0.96
read-only_range=10000,0.99,1.02,1.06,1.04,1.11
read-only_range=100,0.99,0.95,0.96,0.94,0.99
read-only_range=10,0.97,0.86,0.94,1.01,1.02
read-only-simple_range=1000,0.99,0.98,0.99,0.99,0.99
read-only-sum_range=1000,1.00,1.00,1.00,0.99,1.00
scan_range=100,0.99,0.82,0.82,1.11,1.12
scan.warm_range=100,1.00,0.96,0.93,1.27,1.24
delete_range=100,1.01,1.00,0.99,0.99,1.00
insert_range=100,1.00,1.01,0.98,0.80,0.83
read-write_range=100,1.03,1.14,1.17,1.16,1.16
read-write_range=10,1.00,1.04,1.04,1.11,1.12
update-index_range=100,1.00,0.99,1.01,1.00,1.04
update-inlist_range=100,1.00,1.00,1.01,0.99,1.09
update-nonindex_range=100,1.01,0.98,0.98,0.99,1.06
update-one_range=100,1.00,1.06,1.06,1.06,1.05
update-zipf_range=100,0.99,0.83,0.86,0.83,0.91
write-only_range=10000,1.01,1.06,1.05,1.03,1.07
