hot-points_range=100,22637,22198
point-query_range=100,257961,255667
points-covered-pk_range=100,17703,17601
points-covered-si_range=100,18957,18928
points-notcovered-pk_range=100,17078,16989
points-notcovered-si_range=100,9962,10058
random-points_range=1000,1735,1735
random-points_range=100,17182,17059
random-points_range=10,108353,107610
range-covered-pk_range=100,121548,121580
range-covered-si_range=100,130364,130345
range-notcovered-pk_range=100,100597,100159
range-notcovered-si_range=100,19281,19477
read-only-count_range=1000,32006,32814
read-only-distinct_range=1000,86278,86600
read-only-order_range=1000,111284,111822
read-only_range=10000,4142,4315
read-only_range=100,167297,168528
read-only_range=10,216541,217005
read-only-simple_range=1000,137912,138793
read-only-sum_range=1000,171084,172622
scan_range=100,2519,2523
scan.warm_range=100,2520,2522
delete_range=100,90759,89913
insert_range=100,75833,75923
read-write_range=100,141545,141484
read-write_range=10,167062,167164
update-index_range=100,40382,40495
update-inlist_range=100,31189,31280
update-nonindex_range=100,68314,68232
update-one_range=100,56278,56291
update-zipf_range=100,67068,67199
write-only_range=10000,123185,123501
