ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1403749	562.3	88GB	0GB	87.8	1.1	315.5	282	281	0	0	0.7	0.5	1	3	1134	9129	285	38.4	2980	0.4	0.0	NA	fillseq.wal_disabled.v400	2025-11-29T11:23:52	6.29.5		79f08d7ffa
1405158	562.8	88GB	0GB	87.8	1.1	315.8	282	280	0	0	0.7	0.5	1	4	1129	9849	285	37.2	2980	0.4	0.0	NA	fillseq.wal_disabled.v400	2025-11-30T00:27:00	7.0.4		985c8741ad
1386707	555.4	88GB	0GB	87.8	1.1	311.6	286	284	0	0	0.7	0.5	1	4	1115	8373	288	34.0	2980	0.4	0.0	NA	fillseq.wal_disabled.v400	2025-11-30T03:07:03	7.10.2		3258b5c3e2
1385924	555.1	88GB	0GB	87.8	1.1	311.4	286	285	0	0	0.7	0.5	1	3	1117	5988	289	34.4	2980	0.4	0.0	NA	fillseq.wal_disabled.v400	2025-11-30T16:02:44	8.0.0		fdf403f591
1376319	551.3	88GB	0GB	87.8	1.1	309.3	288	287	0	0	0.7	0.5	1	3	1124	5994	291	35.4		0.4	0.0	NA	fillseq.wal_disabled.v400	2025-11-30T18:37:47	8.4.4		ffcfbaa584
1370675	549.0	88GB	0GB	87.8	1.1	308.1	289	288	0	0	0.7	0.5	1	4	1126	6006	292	35.7		0.4	0.0	NA	fillseq.wal_disabled.v400	2025-11-30T21:12:55	8.8.1		986b8b9f20
1374654	550.6	88GB	0GB	87.8	1.1	308.9	289	287	0	0	0.7	0.5	1	4	1121	9574	291	34.9		0.4	0.0	NA	fillseq.wal_disabled.v400	2025-11-30T23:47:55	8.11.4		5c2be544f5
1358956	544.3	88GB	0GB	87.8	1.1	305.4	292	290	0	0	0.7	0.5	1	4	1125	9563	294	35.2		0.4	0.0	NA	fillseq.wal_disabled.v400	2025-12-1T12:42:46	9.0.1		36540d4355
1345565	539.0	88GB	0GB	87.8	1.1	302.4	295	293	0	0	0.7	0.5	1	4	1128	9618	297	35.4		0.4	0.0	NA	fillseq.wal_disabled.v400	2025-12-1T15:17:28	9.4.1		7dbbca6e33
1351594	541.4	88GB	0GB	87.8	1.1	303.8	294	292	0	0	0.7	0.5	1	4	1107	6029	296	31.7		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-1T17:52:29	9.8.4		44e95d8af5
1352511	541.7	88GB	0GB	87.8	1.1	304.1	293	292	0	0	0.7	0.5	1	4	1112	5902	296	32.8		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-1T20:27:37	9.11.2		461d7f4464
1341819	537.5	88GB	0GB	87.8	1.1	301.6	296	294	0	0	0.7	0.5	1	4	1118	6002	298	33.4		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-2T22:20:51	10.0.1		45f7473909
1338289	536.0	88GB	0GB	87.8	1.1	300.8	297	295	0	0	0.7	0.5	1	3	1123	9930	299	34.4		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-3T00:55:49	10.1.3		5823cf08d6
1352871	541.9	88GB	0GB	87.8	1.1	304.1	293	292	0	0	0.7	0.5	1	4	1118	6508	296	33.7		0.4	0.0	NA	fillseq.wal_disabled.v400	2025-12-3T03:30:54	10.2.3		4a0a0f5ff4
1353788	542.3	88GB	0GB	87.8	1.1	304.3	307	293	0	0	0.7	0.5	1	4	1111	5924	296	32.5		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-3T06:05:55	10.3.4		a8b5e4a6b7
1355565	543.0	88GB	0GB	87.8	1.1	304.7	307	293	0	0	0.7	0.5	1	4	1107	10035	295	32.0		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-3T08:40:56	10.4.2		410c562319
1357896	543.9	88GB	0GB	87.8	1.1	305.2	308	292	0	0	0.7	0.5	1	4	1110	6397	295	32.5		0.5	0.0	NA	fillseq.wal_disabled.v400	2025-12-3T11:16:04	10.5.5		f4bf18a60b
827151	331.3	88GB	0GB	87.8	1.1	185.9	187	481	0	0	1.2	0.5	1	5	1236	5979	484	58.4		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-12-3T13:51:12	10.6.2		fae8a27fbd
1443859	578.3	87GB	0GB	87.4	1.1	323.2	326	275	0	0	0.7	0.5	1	3	1065	6765	277	27.9		0.4	0.0	NA	fillseq.wal_disabled.v400	2025-12-3T16:29:34	10.7.6		bb4497729c
1456295	583.3	87GB	0GB	87.4	1.1	326.0	329	272	0	0	0.7	0.5	1	3	1041	5951	275	25.6		0.4	0.0	NA	fillseq.wal_disabled.v400	2025-12-3T19:04:22	10.8.3		6bf472dace

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
