ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
643669	257.8	439GB	0GB	495.3	1.2	163.2	3756	3056	0	0	1.6	0.5	2	6	1282	55042441	3107	7.1	12847	6.8	0.3	NA	fillseq.wal_disabled.v400	2025-05-5T21:49:45	6.29.5		79f08d7ffa
1063253	425.9	439GB	0GB	523.2	1.2	284.8	3729	3194	0	0	0.9	0.5	3	6	872	20942	1881	13.3	11079	5.3	0.4	NA	fillseq.wal_disabled.v400	2025-05-6T01:49:03	7.10.2		3258b5c3e2
1041661	417.2	439GB	0GB	507.6	1.2	270.7	3722	3191	0	0	1.0	0.5	3	6	145	21972	1920	11.3		5.5	0.4	NA	fillseq.wal_disabled.v400	2025-05-6T05:12:32	8.11.4		5c2be544f5
1047318	419.5	439GB	0GB	510.7	1.2	273.9	3752	3215	0	0	1.0	0.5	3	6	213	24523	1910	12.2		5.4	0.3	NA	fillseq.wal_disabled.v400	2025-05-6T08:36:33	9.0.1		36540d4355
1036795	415.3	439GB	0GB	508.6	1.2	270.0	3776	3241	0	0	1.0	0.5	3	6	166	21770	1929	11.6		5.5	0.4	NA	fillseq.wal_disabled.v400	2025-05-6T12:00:41	9.1.2		87d4df1f07
1041967	417.4	439GB	0GB	468.5	1.1	249.9	3548	3060	0	0	1.0	0.5	3	6	245	28016	1920	12.9		5.3	0.4	NA	fillseq.wal_disabled.v400	2025-05-6T15:24:48	9.2.2		41214f0b4e
1039501	416.4	439GB	0GB	469.1	1.1	249.7	3565	3072	0	0	1.0	0.5	3	6	146	25591	1924	11.3		5.4	0.4	NA	fillseq.wal_disabled.v400	2025-05-6T18:49:13	9.3.2		01393464ea
1038924	416.1	439GB	0GB	484.9	1.1	257.9	3641	3132	0	0	1.0	0.5	3	6	283	23451	1925	12.9		5.4	0.4	NA	fillseq.wal_disabled.v400	2025-05-6T22:13:35	9.4.1		7dbbca6e33
1018737	408.0	439GB	0GB	451.2	1.1	235.4	3569	3116	0	0	1.0	0.5	3	6	875	21875	1963	13.3		5.3	0.5	NA	fillseq.wal_disabled.v400	2025-05-7T01:37:57	9.5.2		a7e70f95aa
1004380	402.3	439GB	0GB	455.4	1.1	234.2	3655	3198	0	0	1.0	0.5	3	6	397	25869	1991	12.6		5.4	0.5	NA	fillseq.wal_disabled.v400	2025-05-7T05:03:12	9.6.2		ccfb1998b1
1022786	409.7	439GB	0GB	446.9	1.1	234.0	3529	3076	0	0	1.0	0.5	3	6	888	25331	1956	13.8		5.3	0.5	NA	fillseq.wal_disabled.v400	2025-05-7T08:29:25	9.7.4		3c27a3dde0
1004037	402.2	439GB	0GB	442.6	1.1	227.5	3585	3144	0	0	1.0	0.5	3	6	430	21276	1992	12.7		5.4	0.5	NA	fillseq.wal_disabled.v400	2025-05-7T11:54:52	9.8.4		44e95d8af5
