Relative to: x.ma100408_rel_withdbg.z12a_c32r128.pk1
col-1 : x.ma100434_rel_withdbg.z12a_c32r128.pk1

col-1
0.92	hot-points_range=100
1.03	point-query_range=100
0.98	points-covered-pk_range=100
0.97	points-covered-si_range=100
0.98	points-notcovered-pk_range=100
0.95	points-notcovered-si_range=100
1.02	random-points_range=1000
0.98	random-points_range=100
1.01	random-points_range=10
1.10	range-covered-pk_range=100
1.11	range-covered-si_range=100
1.09	range-notcovered-pk_range=100
0.95	range-notcovered-si_range=100
1.01	read-only-count_range=1000
1.00	read-only-distinct_range=1000
0.99	read-only-order_range=1000
0.99	read-only_range=10000
1.04	read-only_range=100
1.06	read-only_range=10
1.04	read-only-simple_range=1000
1.03	read-only-sum_range=1000
0.96	scan_range=100
0.97	scan.warm_range=100
1.01	delete_range=100
1.02	insert_range=100
1.02	read-write_range=100
1.03	read-write_range=10
1.03	update-index_range=100
0.97	update-inlist_range=100
1.04	update-nonindex_range=100
1.00	update-one_range=100
1.04	update-zipf_range=100
0.99	write-only_range=10000
