hot-points_range=100,1.03,0.95,1.01,1.01,2.54,2.53
point-query_range=100,1.01,1.05,1.05,1.07,1.07,1.06
points-covered-pk_range=100,1.01,1.02,1.05,1.06,1.05,1.03
points-covered-si_range=100,1.04,1.07,1.09,1.05,1.05,1.05
points-notcovered-pk_range=100,0.99,1.01,1.03,1.03,1.02,1.01
points-notcovered-si_range=100,1.01,1.04,1.06,1.03,1.03,1.03
random-points_range=1000,1.00,1.01,1.04,1.04,1.03,1.02
random-points_range=100,1.00,1.02,1.04,1.04,1.03,1.02
random-points_range=10,1.00,1.03,1.03,1.05,1.03,1.02
range-covered-pk_range=100,1.04,1.06,1.07,1.06,1.06,1.04
range-covered-si_range=100,1.04,1.06,1.07,1.07,1.06,1.04
range-notcovered-pk_range=100,1.00,1.02,1.02,1.01,1.01,1.00
range-notcovered-si_range=100,1.00,1.01,1.01,0.97,1.01,1.01
read-only-count_range=1000,1.01,0.98,0.98,0.99,0.93,0.96
read-only-distinct_range=1000,1.01,1.00,0.99,1.01,0.99,1.00
read-only-order_range=1000,1.01,1.00,1.00,1.02,1.00,1.01
read-only_range=10000,1.00,1.00,1.03,1.04,0.99,1.05
read-only_range=100,1.01,1.02,1.02,1.03,1.04,1.01
read-only_range=10,1.00,1.02,1.02,1.03,1.03,1.01
read-only-simple_range=1000,1.01,1.00,0.99,0.99,0.97,0.98
read-only-sum_range=1000,1.00,0.99,0.99,1.00,0.95,0.99
scan_range=100,1.01,1.14,1.09,1.29,1.17,1.19
scan.warm_range=100,1.01,1.15,1.11,1.30,1.18,1.21
delete_range=100,0.98,1.09,1.09,1.06,0.86,1.26
insert_range=100,1.03,1.07,1.05,1.03,0.84,1.08
read-write_range=100,1.00,1.02,1.02,1.03,1.04,1.03
read-write_range=10,0.99,1.03,1.03,1.02,1.06,1.05
update-index_range=100,0.99,1.13,1.08,0.96,1.78,1.78
update-inlist_range=100,1.00,1.06,1.05,1.04,1.10,1.13
update-nonindex_range=100,0.92,1.02,1.02,0.84,1.68,1.70
update-one_range=100,0.95,0.91,1.09,0.85,1.34,1.42
update-zipf_range=100,0.97,1.02,1.01,0.91,1.45,1.49
write-only_range=10000,1.03,1.06,1.08,1.05,1.27,1.28
