hot-points_range=100,113822,114508
point-query_range=100,1067537,1008029
points-covered-pk_range=100,93275,92157
points-covered-si_range=100,90043,90060
points-notcovered-pk_range=100,73035,72362
points-notcovered-si_range=100,71156,70936
random-points_range=1000,8094,8049
random-points_range=100,74148,73291
random-points_range=10,487179,470887
range-covered-pk_range=100,413846,407399
range-covered-si_range=100,412734,405806
range-notcovered-pk_range=100,190426,190777
range-notcovered-si_range=100,155796,160608
read-only-count_range=1000,30062,30201
read-only-distinct_range=1000,168818,167788
read-only-order_range=1000,175331,175019
read-only_range=10000,7286,7320
read-only_range=100,476542,464961
read-only_range=10,862800,818668
read-only-simple_range=1000,241029,240711
read-only-sum_range=1000,302153,299689
scan_range=100,3107,2784
scan.warm_range=100,3113,2788
delete_range=100,741811,726862
insert_range=100,339696,327653
read-write_range=100,487425,475411
read-write_range=10,711396,693557
update-index_range=100,187999,185853
update-inlist_range=100,114380,112504
update-nonindex_range=100,212714,214650
update-one_range=100,58721,61054
update-zipf_range=100,265144,262299
write-only_range=10000,501839,489781
