hot-points_range=100,142245,139731,141941,141109
point-query_range=100,410506,408895,409863,407479
points-covered-pk_range=100,49314,49821,49823,49631
points-covered-si_range=100,50491,50557,51179,50686
points-notcovered-pk_range=100,38771,38603,37994,38817
points-notcovered-si_range=100,38177,38081,38082,38476
random-points_range=1000,4302,4317,4326,4333
random-points_range=100,38974,38989,38676,39175
random-points_range=10,213281,212149,212186,213867
range-covered-pk_range=100,195102,192344,193672,191903
range-covered-si_range=100,189533,187151,188193,186724
range-notcovered-pk_range=100,102766,100642,101347,101221
range-notcovered-si_range=100,80963,80130,80997,81029
read-only-count_range=1000,22314,22195,22275,22388
read-only-distinct_range=1000,95170,95751,95688,95640
read-only-order_range=1000,101232,100353,100382,100981
read-only_range=10000,4472,4570,4588,4584
read-only_range=100,226776,224452,224430,224331
read-only_range=10,347234,342167,342456,341273
read-only-simple_range=1000,144282,143526,144014,145451
read-only-sum_range=1000,189134,188401,188772,188913
scan_range=100,2208,2732,2735,2690
scan.warm_range=100,2556,2728,2739,2694
delete_range=100,390943,379527,379398,382433
insert_range=100,212338,209521,211148,212782
read-write_range=100,235035,232346,232624,230497
read-write_range=10,328427,322538,322582,323323
update-index_range=100,229812,223032,225005,222767
update-inlist_range=100,85948,83926,85159,89810
update-nonindex_range=100,267160,261499,263897,261990
update-one_range=100,81582,80834,80637,80159
update-zipf_range=100,268518,262240,265724,264018
write-only_range=10000,355668,350496,344941,339205
