hot-points_range=100,178029,46398
point-query.pre_range=100,634879,608873
point-query_range=100,631844,610872
points-covered-pk.pre_range=100,51451,42633
points-covered-pk_range=100,49827,42560
points-covered-si.pre_range=100,49858,38284
points-covered-si_range=100,49590,38875
points-notcovered-pk.pre_range=100,40266,37683
points-notcovered-pk_range=100,39189,37550
points-notcovered-si.pre_range=100,39759,25440
points-notcovered-si_range=100,39200,25112
random-points.pre_range=1000,4545,4044
random-points.pre_range=100,40721,38205
random-points.pre_range=10,270183,252185
random-points_range=1000,4407,4029
random-points_range=100,39601,38033
random-points_range=10,265413,252475
range-covered-pk.pre_range=100,300882,175276
range-covered-pk_range=100,250664,175119
range-covered-si.pre_range=100,245812,911
range-covered-si_range=100,241743,904
range-notcovered-pk.pre_range=100,209237,108547
range-notcovered-pk_range=100,123977,107399
range-notcovered-si.pre_range=100,93523,910
range-notcovered-si_range=100,90446,903
read-only.pre_range=10000,8327,5845
read-only.pre_range=100,380998,284952
read-only.pre_range=10,529261,466061
read-only_range=10000,5071,5847
read-only_range=100,289658,281747
read-only_range=10,510209,467206
scan_range=100,0.349,0.438
delete_range=100,621722,586560
insert_range=100,329465,314896
read-write_range=100,306449,73826
read-write_range=10,473862,297193
update-index_range=100,340911,306151
update-inlist_range=100,109806,126101
update-nonindex_range=100,403682,394758
update-one_range=100,110363,246483
update-zipf_range=100,413025,390501
write-only_range=10000,520313,470535
