col-1 : x.pg172_o2nofp.x10a_c32r128.pk1
col-2 : x.pg_oriole_patches17_5_o2nofp.x10a_oriole_c32r128.pk1

col-1	col-2
7161	3405	hot-points_range=100
20803	18173	point-query.pre_range=100
20585	18284	point-query_range=100
2452	2998	points-covered-pk.pre_range=100
2465	2976	points-covered-pk_range=100
2467	0	points-covered-si.pre_range=100
2450	0	points-covered-si_range=100
1964	2516	points-notcovered-pk.pre_range=100
1945	2480	points-notcovered-pk_range=100
1879	0	points-notcovered-si.pre_range=100
1856	0	points-notcovered-si_range=100
233	277	random-points.pre_range=1000
1983	2552	random-points.pre_range=100
10288	10736	random-points.pre_range=10
230	274	random-points_range=1000
1952	2516	random-points_range=100
10190	10698	random-points_range=10
13983	9167	range-covered-pk.pre_range=100
13509	9197	range-covered-pk_range=100
12458	46	range-covered-si.pre_range=100
12526	46	range-covered-si_range=100
9852	5716	range-notcovered-pk.pre_range=100
8404	5506	range-notcovered-pk_range=100
4715	46	range-notcovered-si.pre_range=100
4577	46	range-notcovered-si_range=100
418	329	read-only.pre_range=10000
15644	12250	read-only.pre_range=100
20343	17439	read-only.pre_range=10
358	319	read-only_range=10000
14482	11951	read-only_range=100
20038	17557	read-only_range=10
0.456	0.440	scan_range=100
17877	14797	delete_range=100
19870	18751	insert_range=100
14096	12334	read-write_range=100
17987	16003	read-write_range=10
12860	12016	update-index_range=100
5899	6968	update-inlist_range=100
13756	12429	update-nonindex_range=100
15473	12815	update-one_range=100
13767	11996	update-zipf_range=100
19249	17604	write-only_range=10000
