Relative to: x.pg172_o2nofp.x10a_c32r128.pk1
col-1 : x.pg_oriole_patches17_5_o2nofp.x10a_oriole_c32r128.pk1

col-1
0.51	hot-points_range=100
0.87	point-query.pre_range=100
0.88	point-query_range=100
1.27	points-covered-pk.pre_range=100
1.31	points-covered-pk_range=100
0.00	points-covered-si.pre_range=100
0.00	points-covered-si_range=100
1.34	points-notcovered-pk.pre_range=100
1.37	points-notcovered-pk_range=100
0.00	points-notcovered-si.pre_range=100
0.00	points-notcovered-si_range=100
1.25	random-points.pre_range=1000
1.35	random-points.pre_range=100
1.08	random-points.pre_range=10
1.28	random-points_range=1000
1.38	random-points_range=100
1.09	random-points_range=10
0.66	range-covered-pk.pre_range=100
0.74	range-covered-pk_range=100
0.00	range-covered-si.pre_range=100
0.00	range-covered-si_range=100
0.58	range-notcovered-pk.pre_range=100
0.79	range-notcovered-pk_range=100
0.01	range-notcovered-si.pre_range=100
0.01	range-notcovered-si_range=100
0.78	read-only.pre_range=10000
0.79	read-only.pre_range=100
0.88	read-only.pre_range=10
1.08	read-only_range=10000
0.90	read-only_range=100
0.89	read-only_range=10
0.97	scan_range=100
0.82	delete_range=100
0.87	insert_range=100
0.69	read-write_range=100
0.88	read-write_range=10
0.87	update-index_range=100
1.15	update-inlist_range=100
0.91	update-nonindex_range=100
1.34	update-one_range=100
0.91	update-zipf_range=100
0.94	write-only_range=10000
