hot-points_range=100,3013,2960,2916,2999
point-query_range=100,16798,16383,16559,16016
points-covered-pk_range=100,2024,1999,1960,1984
points-covered-si_range=100,2236,2197,2188,2211
points-notcovered-pk_range=100,1943,1910,1893,1900
points-notcovered-si_range=100,1226,1221,1213,1218
random-points_range=1000,221,218,216,220
random-points_range=100,1943,1926,1911,1917
random-points_range=10,8721,8655,8504,8627
range-covered-pk_range=100,9003,8777,8614,8540
range-covered-si_range=100,9762,9595,9547,9301
range-notcovered-pk_range=100,7899,7752,7726,7653
range-notcovered-si_range=100,2228,2236,2238,2217
read-only-count_range=1000,3045,3139,3095,3116
read-only-distinct_range=1000,7230,7263,7413,7323
read-only-order_range=1000,9482,9552,9749,9587
read-only_range=10000,467,474,482,477
read-only_range=100,12918,12697,12804,12664
read-only_range=10,15718,15325,15413,15261
read-only-simple_range=1000,11638,11474,11622,11506
read-only-sum_range=1000,13397,13004,13184,12775
scan_range=100,4541,4486,4538,4501
scan.warm_range=100,4530,4471,4486,4549
delete_range=100,8433,8340,8341,7968
insert_range=100,8241,8041,8291,7743
read-write_range=100,11772,11612,11742,11586
read-write_range=10,13528,13363,13404,13287
update-index_range=100,3387,3335,3326,3580
update-inlist_range=100,4364,4327,4382,4268
update-nonindex_range=100,7813,7734,7744,7490
update-one_range=100,8005,7921,7881,7644
update-zipf_range=100,7864,7781,7799,7513
write-only_range=10000,11862,11794,11867,11819
