hot-points_range=100,1.55,1.14,1.09,1.15,1.17
point-query_range=100,0.95,0.88,0.79,0.80,0.83
points-covered-pk_range=100,1.14,0.88,0.85,0.92,0.92
points-covered-si_range=100,0.87,0.73,0.69,0.76,0.77
points-notcovered-pk_range=100,1.13,0.88,0.84,0.91,0.92
points-notcovered-si_range=100,0.86,0.74,0.67,0.73,0.73
random-points_range=1000,1.26,0.51,0.96,1.03,1.03
random-points_range=100,1.14,0.88,0.84,0.92,0.92
random-points_range=10,0.95,0.83,0.74,0.77,0.78
range-covered-pk_range=100,0.88,0.77,0.70,0.69,0.73
range-covered-si_range=100,0.88,0.80,0.72,0.73,0.76
range-notcovered-pk_range=100,0.86,0.75,0.68,0.68,0.70
range-notcovered-si_range=100,0.82,0.74,0.62,0.69,0.69
read-only_range=10000,1.30,1.08,1.03,1.04,1.06
read-only_range=100,1.14,1.03,0.95,0.94,0.96
read-only_range=10,1.05,0.94,0.86,0.86,0.89
scan_range=100,0.88,0.88,0.73,0.72,0.74
delete_range=100,0.96,0.95,0.85,0.86,0.87
insert_range=100,0.88,0.83,0.76,0.77,0.77
read-write_range=100,1.13,1.00,0.93,0.93,0.94
read-write_range=10,1.03,0.91,0.84,0.84,0.85
update-index_range=100,2.57,3.01,2.34,2.25,2.49
update-inlist_range=100,1.17,1.15,1.04,1.10,1.13
update-nonindex_range=100,0.83,0.77,0.72,0.73,0.75
update-one_range=100,0.98,0.95,0.88,0.87,0.89
update-zipf_range=100,0.84,0.78,0.73,0.74,0.76
write-only_range=10000,1.02,0.94,0.85,0.85,0.85
